WATER_SY_1,WATER_SYST,GLOBALID,BOUNDARY_T,OWNER_TYPE,COUNTY,REGULATING,FEDERAL_CL,STATE_CLAS,SERVICE_CO,POPULATION,pop_est_total,pop_pct_difference,pop_est_asian,pop_est_black_or_african_american,pop_est_hispanic_or_latino,pop_est_native_american_or_alaska_native,pop_est_other_or_multiple,pop_est_pacific_islander,pop_est_white,pct_est_asian,pct_est_black_or_african_american,pct_est_hispanic_or_latino,pct_est_native_american_or_alaska_native,pct_est_other_or_multiple,pct_est_pacific_islander,pct_est_white,med_hh_income_est
SCWA MATHER-SUNRISE,CA3410704,{4E3FC0F8-4DB3-4B03-AAEB-C965EE668712},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,6921,22839,17688,-22.55,4384,1529,2470,38,1044,11,8213,24.78,8.64,13.96,0.21,5.9,0.06,46.43,139932
TUNNEL TRAILER PARK,CA3400192,{896615F1-429B-4829-8D45-45AF249034BC},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,21,44,0,-100,0,0,0,0,0,0,0,6.51,0,64.68,0,0,0,28.81,142932
IMPERIAL MANOR MOBILEHOME COMMUNITY,CA3400190,{1F6AA119-33B3-4518-92C8-62843A00AE53},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,186,200,294,47,4,48,54,0,24,0,164,1.37,16.4,18.29,0,8.28,0,55.66,29096
CALAM - ISLETON,CA3410012,{24CB80A8-8A7C-46E9-8413-3346147E7444},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,480,1581,36,-97.72,1,0,11,0,1,0,22,4.01,1.33,31.51,0,2.11,0,61.04,76889
"FOLSOM, CITY OF - ASHLAND",CA3410030,{C83A0A46-997F-44BF-9441-C2DBC0D706CF},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,1079,3538,3913,10.6,187,54,328,1,308,1,3033,4.79,1.38,8.38,0.04,7.87,0.02,77.52,77740
LOCKE WATER WORKS CO [SWS],CA3400138,{66BAF16E-A801-4313-B7B8-FF4E564CA9F6},Water Service Area,P,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,44,80,2,-97.5,0,0,1,0,0,0,1,3.93,0,48.22,0,2.81,0,45.04,63076
DEL PASO MANOR COUNTY WATER DI,CA3410007,{BC88D650-D07A-47DF-A872-CD3F6142791A},Water Service Area,L,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,1796,4520,5563,23.08,184,369,494,33,297,52,4135,3.3,6.63,8.88,0.59,5.34,0.94,74.33,93174
EAST WALNUT GROVE [SWS],CA3400106,{6E5DA14E-1740-4320-A7E4-FD9B48240017},Water Service Area,L,SACRAMENTO,LPA64 - SACRAMENTO COUNTY,COMMUNITY,COMMUNITY,166,300,5,-98.33,0,0,2,0,0,0,2,3.93,0,48.22,0,2.81,0,45.04,63076
FOLSOM STATE PRISON,CA3410032,{CFEFFCD1-76A3-4403-A906-D04B910D61C5},Water Service Area,S,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,2790,9703,4251,-56.19,101,1783,1460,79,42,39,747,2.38,41.94,34.36,1.85,0.99,0.91,17.57,137307
CALAM - ARDEN,CA3410045,{FC35B709-C658-4890-B64C-374368BFAC79},Water Service Area,P,SACRAMENTO,DISTRICT 09 - SACRAMENTO,COMMUNITY,COMMUNITY,1185,3908,10384,165.71,1288,2043,3474,19,722,33,2804,12.4,19.68,33.45,0.19,6.96,0.32,27,46057
