GEOID,NAME,water_system_name,areal_weight_factor,population_total_count,population_hispanic_or_latino_count,population_white_count,population_black_or_african_american_count,population_native_american_or_alaska_native_count,population_asian_count,population_pacific_islander_count,population_other_count,population_multiple_count,poverty_total_assessed_count,poverty_below_level_count,poverty_above_level_count,poverty_rate_pct_calc_census_unit,households_count,average_household_size,median_household_income,households_income_below_10k_count,households_income_10k_15k_count,households_income_15k_20k_count,households_income_20k_25k_count,households_income_25k_30k_count,households_income_30k_35k_count,households_income_35k_40k_count,households_income_40k_45k_count,households_income_45k_50k_count,households_income_50k_60k_count,households_income_60k_75k_count,households_income_75k_100k_count,households_income_100k_125k_count,households_income_125k_150k_count,households_income_150k_200k_count,households_income_above_200k_count,households_mortgage_total_count,households_mortgage_housing_costs_over30pct_count,households_mortgage_housing_costs_over50pct_count,households_no_mortgage_total_count,households_no_mortgage_housing_costs_over30pct_count,households_no_mortgage_housing_costs_over50pct_count,households_rent_total_count,households_rent_housing_costs_over30pct_count,households_rent_housing_costs_over50pct_count,households_all_housing_costs_over30pct_percent,households_all_housing_costs_over50pct_percent,per_capita_income
060670099004,Block Group 4; Census Tract 99; Sacramento County; California,HOOD WATER MAINTENCE DIST [SWS],0.0018776991066684651,1.1641734461344484,0.8055329167607715,0.3342304409869868,0,0,0,0,0,0.024410088386690048,1.1641734461344484,0.20279150352019423,0.9613819426142541,17.419354838709676,0.41121610436039385,2.55,56250,0.05633097320005395,0,0,0,0,0,0.06947486694673322,0.0375539821333693,0.01877699106668465,0.04694247766671163,0.05069787588004856,0.06571946873339628,0.05257557498671702,0,0,0.013143893746679255,0.05445327409338549,0.05445327409338549,0,0.16523752138682493,0.05633097320005395,0.05633097320005395,0.19152530888018343,0.076985663373407065,0.048820176773380096,45.662100456621005,25.570776255707763,23510
060670074131,Block Group 1; Census Tract 74.13; Sacramento County; California,MC CLELLAN MHP,0.09253203945585055,269.36076685598096,51.910474134732155,108.26248616334514,64.67989557963953,0,42.842334268058806,0,0,1.6655767102053098,269.36076685598096,100.95245504633294,168.40831180964798,37.47852971487461,82.16845103679529,3.28,60521,7.772691314291446,1.9431728285728616,3.42368545986647,6.75483888027709,11.381440853069618,1.9431728285728616,1.5730446707494594,1.3879805918377581,3.146089341498919,1.2954485523819077,15.452850589127042,19.709324404096165,3.42368545986647,0,2.9610252625872175,0,9.345735985040905,3.7938136176898727,1.5730446707494594,24.520990455800394,0.8327883551026549,0.8327883551026549,48.301724595953985,33.8667264408413,26.649227363284957,46.846846846846844,35.36036036036036,18213
060670099001,Block Group 1; Census Tract 99; Sacramento County; California,MAGNOLIA MUTUAL WATER,8.239790904936589e-4,0.9310963722578345,0.4152854616088041,0.4268211688757153,0,0,0.055206599063075144,0,0,0.033783142710240015,0.9310963722578345,0.14666827810787128,0.7844280941499633,15.752212389380531,0.3600788625457289,2.49,68248,0.02307141453382245,0.009063769995430248,0.013183665447898542,0,0.020599477262341473,0.009063769995430248,0,0.02307141453382245,0.02224743544332879,0.009063769995430248,0.13842848720293469,0,0.0024719372714809766,0.014831623628885859,0.0140076445383922,0.060974452696530755,0.12359686357404882,0,0,0.049438745429619534,0.02307141453382245,0.02307141453382245,0.18704325354206056,0.06509434814899905,0.029663247257771717,24.48512585812357,14.645308924485127,38950
060670098002,Block Group 2; Census Tract 98; Sacramento County; California,KORTHS PIRATES LAIR,1.1831755276395696e-4,0.08790994170362003,0.0034312090301547517,0.07844453748250346,0.002839621266334967,0,0,0,0,0.003194573924626838,0.08790994170362003,0.03159078658797651,0.05631915511564351,35.93539703903095,0.04898346684427818,1.79,38125,0.008518863799004902,0.008163911140713031,0.002484668608043096,0.00272130371357101,0.0018930808442233114,5.915877638197848e-4,4.7327021105582784e-4,0.0022480335025151822,0.0013014930804035266,0,0.006744100507545547,0.003549526582918709,0.006270830296489719,0,0.0014198106331674836,0.0026029861608070533,0.008400546246240944,0.003549526582918709,0.003549526582918709,0.030170975954809026,0.003194573924626838,8.282228693476987e-4,0.010411944643228213,0.006980735613073461,0.006980735613073461,28.019323671497588,23.188405797101453,33103
060670050021,Block Group 1; Census Tract 50.02; Sacramento County; California,EL DORADO MOBILE HOME PARK,0.05491473515800684,139.42851256617936,84.01954479175048,10.873117561285355,14.60731955202982,0,18.506265748248307,0,0,11.422264912865423,138.54987680365127,59.747231851911444,78.80264495173982,43.12326595323028,48.215137468730006,2.71,29468,5.601302986116698,9.719908122967212,0,3.6792872555864586,5.656217721274705,0.7688062922120958,0,7.523318716646937,1.4826978492661849,7.248745040856903,0.43931788126405474,0.9335504976861163,0,4.338264077482541,0,0.8237210273701027,3.185054639164397,0,0,9.664993387809204,5.326729310326664,5.326729310326664,35.36508944175641,17.18831210445614,9.664993387809204,46.697038724373584,31.09339407744875,17394
060670098002,Block Group 2; Census Tract 98; Sacramento County; California,RIVER'S EDGE MARINA & RESORT,1.8896250782618088e-4,0.1403991433148524,0.005479912726959245,0.12528214268875792,0.004535100187828342,0,0,0,0,0.005101987711306884,0.1403991433148524,0.0504529895895903,0.0899461537252621,35.93539703903095,0.07823047824003888,1.79,38125,0.013605300563485023,0.013038413040006481,0.003968212664349799,0.00434613768000216,0.003023400125218894,9.448125391309044e-4,7.558500313047235e-4,0.0035902876486974366,0.0020785875860879896,0,0.010770862946092311,0.005668875234785427,0.010015012914787586,0,0.002267550093914171,0.004157175172175979,0.013416338055658842,0.005668875234785427,0.005668875234785427,0.04818543949567613,0.005101987711306884,0.0013227375547832662,0.016628700688703917,0.011148787961744672,0.011148787961744672,28.019323671497588,23.188405797101453,33103
060670096083,Block Group 3; Census Tract 96.08; Sacramento County; California,LAGUNA VILLAGE RV PARK,0.006771033361435129,20.27924491749821,2.5933057774296544,1.7198424738045228,1.4760852727928582,0,10.671148577621764,1.6995293737202175,0,2.1193334421291956,20.27924491749821,2.390174776586601,17.889070140911613,11.786310517529216,6.683009927736473,3.03,84332,0.6567902360592075,0,0.09479446706009181,0.209902034204489,0.19635996748161874,0.1151075671443972,0,0.27084133445740516,0.2911544345417106,0.10833653378296207,0.7041874695892535,1.3745197723713312,0.35886476815606183,0.8057529700107804,0.8531502035408263,0.6432481693363373,2.830291945079884,1.2729542719498044,0.48074336866189415,1.05628120438388,0.16250480067444312,0.006771033361435129,2.7964367782727084,0.7380426363964291,0.3317806347103213,32.52279635258359,12.259371833839918,32668
060670098002,Block Group 2; Census Tract 98; Sacramento County; California,SPINDRIFT MARINA,2.306141238609024e-4,0.17134629402865048,0.00668780959196617,0.1528971641197783,0.005534738972661658,0,0,0,0,0.006226581344244365,0.17134629402865048,0.06157397107086094,0.10977232295778955,35.93539703903095,0.0954742472784136,1.79,38125,0.016604216917984974,0.015912374546402267,0.004842896601078951,0.005304124848800756,0.0036898259817744385,0.0011530706193045121,9.224564954436096e-4,0.004381668353357146,0.0025367553624699264,0,0.013145005060071437,0.006918423715827072,0.012222548564627827,0,0.002767369486330829,0.005073510724939853,0.01637360279412407,0.006918423715827072,0.006918423715827072,0.05880660158453011,0.006226581344244365,0.0016142988670263167,0.02029404289975941,0.013606233307793243,0.013606233307793243,28.019323671497585,23.18840579710145,33103
060670032023,Block Group 3; Census Tract 32.02; Sacramento County; California,SAC CITY MOBILE HOME COMMUNITY LP,0.17036310388399184,229.308737827853,81.77428986431609,17.206673492283176,7.495976570895641,0,122.83179790035811,0,0,0,229.308737827853,110.39529131682671,118.91344651102631,48.14264487369985,89.44062953909571,2.53,22380,11.073601752459469,16.184494868979225,9.029244505851567,9.881060025271527,7.666339674779633,0,0,4.259077597099796,2.044357246607902,6.644161051475682,1.3629048310719347,13.288322102951364,3.7479882854478204,4.259077597099796,0,0,3.5776251815638287,1.5332679349559266,1.5332679349559266,15.332679349559266,1.5332679349559266,0,70.53032500797262,40.71678182827405,30.154269387466556,48.952380952380956,35.42857142857143,16689
060670081451,Block Group 1; Census Tract 81.45; Sacramento County; California,ORANGE VALE WATER COMPANY,0.4151761965373534,734.0315154780408,15.776695468419428,675.491671766274,0,17.02222405803149,18.682928844180903,0,0,7.057995341135007,734.0315154780408,41.93279585027269,692.0987196277681,5.712669683257919,282.3198136454003,2.59,123500,7.473171537672361,0,0,0,12.455285896120602,0,0,7.888347734209714,6.227642948060301,31.553390936838856,52.31220076370653,6.227642948060301,22.00433841647973,41.93279585027269,71.82548200096214,22.419514613017082,104.2092253308757,36.535505295287095,28.23198136454003,134.51708767810248,7.473171537672361,7.473171537672361,43.59350063642211,37.36585768836181,5.397290554985594,28.823529411764707,14.558823529411766,45172
060670082032,Block Group 2; Census Tract 82.03; Sacramento County; California,ORANGE VALE WATER COMPANY,0.8741477800877385,1644.2719743450361,285.8463240886905,1168.7355819773063,0.8741477800877385,0,0,85.66648244859837,0,103.14943805035314,1614.550949822053,286.72047186877825,1327.8304779532748,17.758527341635084,627.6381061029963,2.62,66768,41.08494566412371,0,11.363921141140601,10.489773361052862,64.68693572649265,8.741477800877385,20.979546722105724,14.860512261491555,13.112216701316077,24.47613784245668,136.3670536936872,62.06449238622943,109.26847251096731,8.741477800877385,26.224433402632155,75.17670908754552,395.11479659965784,194.9349549595657,33.217615643334064,197.55739829982892,110.14262029105505,79.5474479879842,34.96591120350954,26.224433402632155,7.867330020789646,52.78551532033425,19.220055710306408,34343
